code,component_type,component_id,coefficient
2.2.1.1.1a,material,99,1.02
2.2.1.1.2,material,98,0.015
2.2.1.1.2,material,100,1.02
2.2.1.1.2a,material,98,0.015
2.2.1.1.2a,material,101,1.02
2.2.1.1.3,material,97,1.02
2.2.1.1.3,material,98,0.028
2.2.1.1.3a,material,98,0.028
2.2.1.1.3a,material,99,1.02
2.2.1.1.4,material,98,0.028
2.2.1.1.4,material,100,1.02
2.2.1.1.4a,material,98,0.028
2.2.1.1.4a,material,101,1.02
2.2.1.1.5,material,98,0.005
2.2.1.1.5,material,102,1.02
2.2.1.1.6,material,98,0.005
2.2.1.1.6,material,102,1.02
2.2.1.10.1,material,15,4.0
2.2.1.10.1,material,90,0.01
2.2.1.10.1,material,98,0.45
2.2.1.10.1,material,106,0.002
2.2.1.10.1,material,116,3.0
2.2.1.10.1,material,117,0.006
2.2.1.10.1,material,118,0.009
2.2.1.10.2,material,15,5.5
2.2.1.10.2,material,90,0.02
2.2.1.10.2,material,98,0.05
2.2.1.10.2,material,106,0.003
2.2.1.10.2,material,107,0.2
2.2.1.10.2,material,116,3.6
2.2.1.10.2,material,117,0.009
2.2.1.10.2,material,118,0.015
2.2.1.11.1,material,18,963.0
2.2.1.11.1,material,119,1920.0
2.2.1.11.2,material,120,1.1
2.2.1.2.1,material,103,1.05
2.2.1.2.2,material,104,1.05
2.2.1.2.3,material,98,0.01
2.2.1.2.3,material,105,1.05
2.2.1.3.1,material,96,0.3
2.2.1.3.1,material,106,0.016
2.2.1.3.1,material,107,0.1
2.2.1.3.2,material,96,0.3
2.2.1.3.2,material,106,0.018
2.2.1.3.2,material,107,0.1
2.2.1.3.3,material,38,0.65
2.2.1.3.3,material,88,0.00465
2.2.1.3.3,material,90,0.4
2.2.1.3.3,material,107,0.2
2.2.1.3.3,material,108,0.12705
2.2.1.3.4,material,38,0.65
2.2.1.3.4,material,88,0.00558
2.2.1.3.4,material,90,0.4
2.2.1.3.4,material,107,0.2
2.2.1.3.4,material,108,0.12705
2.2.1.3.5,material,38,1.95
2.2.1.3.5,material,88,0.00465
2.2.1.3.5,material,96,0.4
2.2.1.3.5,material,107,0.2
2.2.1.3.5,material,108,0.127
2.2.1.3.6,material,38,0.975
2.2.1.3.6,material,88,0.006
2.2.1.3.6,material,96,0.4
2.2.1.3.6,material,107,0.2
2.2.1.3.6,material,108,0.127
2.2.1.3.6,material,109,4.0
2.2.1.3.7,material,38,0.65
2.2.1.3.7,material,88,0.005
2.2.1.3.7,material,96,0.4
2.2.1.3.7,material,107,0.15
2.2.1.3.7,material,108,0.127
2.2.1.3.8,material,38,0.1625
2.2.1.3.8,material,90,0.6
2.2.1.3.8,material,106,0.0106
2.2.1.4.1,material,15,250.0
2.2.1.4.1,material,16,888.0
2.2.1.4.1,material,18,202.0
2.2.1.4.1,material,110,1.009
2.2.1.4.2,material,15,267.0
2.2.1.4.2,material,16,871.0
2.2.1.4.2,material,18,202.0
2.2.1.4.2,material,110,1009.0
2.2.1.4.3,material,15,306.0
2.2.1.4.3,material,16,832.0
2.2.1.4.3,material,18,202.0
2.2.1.4.3,material,110,1009.0
2.2.1.4.4,material,15,322.0
2.2.1.4.4,material,16,817.0
2.2.1.4.4,material,18,202.0
2.2.1.4.4,material,110,1009.0
2.2.1.4.5,material,15,348.0
2.2.1.4.5,material,16,790.0
2.2.1.4.5,material,18,202.0
2.2.1.4.5,material,110,1009.0
2.2.1.4.6,material,15,368.0
2.2.1.4.6,material,16,770.0
2.2.1.4.6,material,18,202.0
2.2.1.4.6,material,110,1009.0
2.2.1.5.1,material,15,267.0
2.2.1.5.1,material,16,871.0
2.2.1.5.1,material,18,202.0
2.2.1.5.1,material,110,1009.0
2.2.1.5.10,material,15,408.0
2.2.1.5.10,material,16,629.0
2.2.1.5.10,material,18,202.0
2.2.1.5.10,material,110,1009.0
2.2.1.5.10,material,111,102.0
2.2.1.5.11,material,15,400.0
2.2.1.5.11,material,16,672.0
2.2.1.5.11,material,18,210.0
2.2.1.5.11,material,110,1440.0
2.2.1.5.11,material,112,1.2
2.2.1.5.2,material,15,306.0
2.2.1.5.2,material,16,832.0
2.2.1.5.2,material,18,202.0
2.2.1.5.2,material,110,1009.0
2.2.1.5.3,material,15,322.0
2.2.1.5.3,material,16,817.0
2.2.1.5.3,material,18,202.0
2.2.1.5.3,material,110,1009.0
2.2.1.5.4,material,15,348.0
2.2.1.5.4,material,16,790.0
2.2.1.5.4,material,18,202.0
2.2.1.5.4,material,110,1009.0
2.2.1.5.5,material,15,368.0
2.2.1.5.5,material,16,770.0
2.2.1.5.5,material,18,202.0
2.2.1.5.5,material,110,1009.0
2.2.1.5.6,material,15,407.0
2.2.1.5.6,material,16,731.0
