;NO;URAIAN PEKERJAAN;SATUAN;HARGA SATUAN;KETERANGAN;;;
;1.2.5.1.4;Penggalian 1 m3 galian lumpur sedalam > 1 m s.d 2 m untuk volume > 200 m3 secara manual;m3; Rp132.000,00 ;0;0;;
;1.2.5.1.5;Penggalian 1 m3 galian lumpur sedalam >  2 m s.d 3 m  secara manual;m3; Rp151.800,00 ;0;0;;
;1.2.5.1.6;Penggalian 1 m3 galian lumpur sedalam >   3 m setiap tambahan dalam 1 m  secara manual;m3; Rp19.800,00 ;0;0;;
;1.2.5.2;Cara Semi Mekanis ;;;0;0;;
;1.2.5.2.1;Penggalian 1 m3 lumpur sedalam >0 s.d 1 m secara semi mekanis ;m3; Rp38.830,00 ;0;0;;
;1.2.5.2.2;Penggalian 1 m3 lumpur sedalam > 1 m s.d 2 m secara semi mekanis ;m3; Rp64.240,00 ;0;0;;
;1.2.5.2.3;Penggalian 1 m3 lumpur sedalam > 2 m s.d 3 m secara semi mekanis ;m3; Rp51.810,00 ;0;0;;
;1.2.5.2.4;Penggalian 1 m3 lumpur sedalam > 3 m setiap tambah kedalaman 1 m secara semi mekanis ;m3; Rp5.500,00 ;0;0;;
;1.3 ;PEKERJAAN TIMBUNAN DAN PEMADATAN;;;;;;
;1.3.1;Timbunan atau Urukan Secara Manual ;;;;;;
;1.3.1.1;1 m3 urukan kembali galian tanah ( >0 s.d 200 m3) tanpa pemadatan secara manual;m3; Rp60.500,00 ;Revisi;tidak ada perubahan;;
;1.3.1.2;1 m3 urukan pasir uruk untuk volume s.d 200 m3 tanpa pemadatan secara manual;m3; Rp372.504,00 ;0;0;;
;1.3.1.3 ;1 m3 urukan pasir uruk untuk volume > 200 m3 tanpa pemadatan secara manual ;m3; Rp344.784,00 ;0;0;;
;1.3.1.4 ;1 m3 urukan tanah biasa atau tanah liat berpasir tanpa pemadatan secara manual;m3; Rp239.426,00 ;0;0;;
;1.3.1.5 ;1 m3 Urukan tanah liat (lempung) tanpa pemadatan secara manual ;m3; Rp262.900,00 ;0;0;;
;1.3.1.6 ;1m3 Urukan Batu Kerikil Tanpa Pemadatan secara manual ;m3; Rp578.842,00 ;0;0;;
;1.3.1.7;1 m3 Urukan tanah subur tanpa pemadatan secara manual ;m3; Rp217.800,00 ;0;0;;
;1.3.2 ;Pemadatan Secara Menual ;;;0;0;;
;1.3.2.1 ;1 m3 pemadatan tanah per 20 cm menggunakan alat timbris secara manual;m3; Rp60.500,00 ;0;0;;
;1.3.2.2 ;1 m3 timbunan dan pemadatan sirtu  secara manual ;m3; Rp375.936,00 ;0;0;;
;1.3.3 ;Pemadatan Secara Semi- Mekanis ;;;0;0;;
;1.3.3.1 ;1 m3 Pemadatan tanah setebal 10 cm menggunakan  mesin Stemper kuda semi mekanis  ;m3; Rp24.563,00 ;Revisi ;tidak ada perubahan;;
;1.3.3.2;1 m3 Pemadatan pasir setebal 15 cm menggunakan mesin Stamper kodok semi mekanis ;m3; Rp22.099,00 ;Revisi;tidak ada perubahan;;
;1.3.3.3;1 m3 Pemadatan pasir setebal 20 cm menggunakan mesin Stamper VRR-550 kg semi mekanis ;m3; Rp6.240,00 ;Revisi;perubahan koofisien Stemper D-Drum 550 dr 0,0574 jadi 0,0183;;
;1.3.3.4;1 m3 Pemadatan pasir setebal 20 cm menggunakan mesin Stamper VRR-1,5 Ton semi mekanis ;m3; Rp3.426,00 ;Revisi;perubahan koofisien Stemper Smooth Drump 1,5 Ton dr 0,0574 jadi 0,0089;;
;1.3.3.5;1 m3 Tipbunan dan Pemadatan batu kerikil meggunakan mein stamper kodok semi mekanis ;m3; Rp496.307,00 ;0;0;;
;1.3.3.6;1 m3 Timbunan dan Pemadatan Makadam semi mekanis ;m3; Rp507.786,00 ;Revisi;tidak ada perubahan ;;
;1.4;Pekerjaan Angkut  Materia dan/atau Hasil Galian ;;;;;;
;1.4.1 ;"Angkut Tanah Lepas atau Hasil Galian untuk Jarak Horizontal dan medan landai naik serta turun >2""";;;;;;
;1.4.1.1 ;Mengangkut 1 m3 tanah lepas, jarak angkut s.d 10 m;m3; Rp25.454,00 ;0;0;;
;1.4.1.2;Mengangkut 1 m3 tanah lepas, jarak angkut  > 10 m s.d 20 m;m3; Rp27.258,00 ;0;0;;
;1.4.1.3;Mengangkut 1 m3 tanah lepas, jarak angkut > 20 m s.d 30 m;m3; Rp29.953,00 ;0;0;;
;1.4.1.4;Mengangkut 1 m3 tanah lepas, jarak angkut > 30 m s.d 40 m;m3; Rp30.305,00 ;0;0;;
;1.4.1.5;Mengangkut 1 m3 tanah lepas, jarak angkut > 40 m s.d 50 m;m3; Rp32.934,00 ;0;0;;
;1.4.1.6;Mengangkut 1 m3 tanah lepas, jarak angkut > 50 m s.d 100 m;m3; Rp41.624,00 ;0;0;;
;1.4.1.7;Mengangkut 1 m3 tanah lepas, jarak angkut > 100 m s.d 200 m;m3; Rp58.597,00 ;0;0;;
;1.4.1.8;Mengangkut 1 m3 tanah lepas, jarak angkut > 200 m s.d 300 m;m3; Rp78.793,00 ;0;0;;
;1.4.1.9;Mengangkut 1 m3 tanah lepas, jarak angkut > 300 m s.d 400 m;m3; Rp102.531,00 ;0;0;;
;1.4.1.10;Mengangkut 1 m3 tanah lepas, jarak angkut > 400 m s.d 500 m;m3; Rp132.330,00 ;0;0;;
;1.4.1.11;Mengangkut 1 m3 tanah lepas, jarak angkut > 500 m s.d 600 m;m3; Rp166.683,00 ;0;0;;
;1.4.1.12;Mengangkut 1 m3 tanah lepas, jarak angkut > 600 m untuk setiap penambahan jarak angkut 100m ;m3; Rp33.264,00 ;0;0;;
;1.4.2 ;Angkut Material dan / atau Hasil Galian Lainnya ;;;0;0;;
;1.4.2.1;1 m3 Pembuangan tanah lumpur sejauh 1 km ;m3; Rp143.941,00 ;0;0;;
;1.4.2.2;1 m3 Pembuangan tanah lumpur sejauh 2 km ;m3; Rp158.757,00 ;0;0;;
;1.4.2.3;1 m3 Pembuangan tanah lumpur sejauh 3 km ;m3; Rp173.580,00 ;0;0;;
;1.4.2.4;1 m3 Pembuangan tanah lumpur sejauh 4 km ;m3; Rp188.396,00 ;0;0;;
;1.4.2.5;1 m3 Pembuangan tanah lumpur sejauh 5 km ;m3; Rp160.278,00 ;0;0;;
;1.5;Pekerjaan Geotekstil dan Geomembran ;;;;;;
;1.5.1;1 m2 Pasangan Geotekstil, Tipis ( > 100 s.d <400 gr/m2), Secara Manual ;m2; Rp23.196,00 ;0;0;;
;1.5.2;1 m2 Pasangan Geotekstil, Tipis ( > 100 s.d <400 gr/m2), Secara Mekanis ;m2; Rp21.990,00 ;0;0;;
;1.5.3;1 m2 Pasangan Geotekstil, Tebal Sedang ( > 400 s.d <800 gr/m2), Secara Manual ;m2; Rp30.430,00 ;0;0;;
;1.5.4;1 m2 Pasangan Geotekstil, Tebal Sedang ( > 400 s.d <800 gr/m2), Secara Semi Mekanis( untuk bangunan gedung) ;m2; Rp28.688,00 ;Revisi ;Tidak ada Perubahan ;;
;1.5.5;1 m2 Pasangan Geotekstil, Tebal (  >800 gr/m2), Secara Manual ( untuk bangunan gedung) ;m2; Rp49.995,00 ;Revisi ;Perubahan di bahan awalnya Geotextile >100 gr/m2 jadi >800 gr/m2;;
;1.5.6;1 m2 Pasangan Geotekstil, Tebal (  >800 gr/m2), Secara Semi Mekanis ( untuk bangunan gedung) ;m2; Rp47.014,00 ;Revisi;Perubahan di bahan awalnya Geotextile >100 gr/m2 jadi >800 gr/m2;;
;1.5.7;1 m2 Pasangan Geomembran, t=1,5 mm, secara semi mekanis;m2; Rp24.669,00 ;0;0;;
;1.5.8;1 m2 Pasangan Geosynthetic Clay Liner (GCL), secara semi mekanis ;m2; Rp466.166,00 ;0;0;;
;1.6;PEKERJAAN PEMBONGKARAN;;;;;;
;1.6.1;Bongkaran 1 m3 pasangan batu (manual) untuk bangunan gedung;m3; Rp146.173,00 ;0;0;;
;1.6.2;Bongkaran 1 m3 pasangan batu dengan jack hammer untuk bangunan gedung ;m3; Rp150.700,00 ;0;0;;
;1.6.3;Bongkaran 1 m3 beton mutu rendah f’c < 20 MPa secara manual;m3; Rp211.090,00 ;0;0;;
;1.6.4 ;Bongkaran 1 m3 beton mutu rendah f’c ≥ 20 MPa secara manual;m3; Rp504.680,00 ;0;0;;
;1.6.5;Bongkaran 1 m3 beton mutu rendah f’c < 20 MPa dengan jack hammer;m3; Rp152.900,00 ;0;0;;
;1.6.6 ;Bongkaran 1 m3 beton mutu sedang 20 MPa ≤ f’c ≤ 40 MPa dengan jack hammer;m3; Rp174.900,00 ;0;0;;
;1.6.7;Bongkaran 1 m3 pasangan bata merah secara manual;m3; Rp39.935,00 ;0;0;;
;1.6.8;Bongkaran 1 m3 pasangan bata merah dengan jack hammer;m3; Rp25.575,00 ;0;0;;
;1.6.9;Bongkaran 1 m3 rangka atap / reng/ kaso struktur kayu dan ditempatkan di pemyimpanan sementara (bongkaran tidak dipakai kembali);m3; Rp13.904,00 ;0;0;;
;1.6.10;Bongkaran 1 m3 kuda-kuda / gording/ balok kayu dan ditempatkan di pemyimpanan sementara (bogkaran dipakai kembali);m3; Rp1.858.158,00 ;0;0;;
;1.6.11;Bongkaran 1 m3 kuda-kuda / gording/ balok kayu dan ditempatkan di pemyimpanan sementara (bogkaran tidak dipakai kembali);m3; Rp1.690.058,00 ;Revisi ;Tidak ada perubaha ;;
;1.6.12;Bongkaran 1 m2 plafon termasuk rangka kayu/hollow dan ditempatkan di peyimpanan sementara (bongkaran tidak dipakai kembali);m3; Rp17.201,00 ;Revisi;Perubahan nama item pekerjaan awalnya m3 jadi m2;;
;1.6.13;Bongkaran 1 m2 plafon termasuk rangka kayu/hollow dan ditempatkan di peyimpanan sementara (bongkaran  dipakai kembali);m3; Rp34.406,00 ;Revisi;Perubahan nama item pekerjaan awalnya m3 jadi m2;;
;2;PEKERJAAN STRUKTUR ;;;;;;
;2.1 ;PEKERJAAN RANGKA ATAP ;;;;;;
;2.1.1;Rangka Atap Baja Ringan ;;;;;;
;2.1.1.1;Pemasangan 1 m2 rangka atap pelana baja ringan (canai dingin) profil C75;m2; Rp298.694,00 ;0;0;;
;2.1.1.2;Pemasangan 1 m2 rangka atap jurai/limasan baja ringan (canai dingin) profil C75;m2; Rp306.672,00 ;0;0;;
;2.1.1.3;Pemasangan 1 m Kaso Baja Ringan C75 tebal 0,75 mm;m2; Rp24.971,00 ;0;0;;
;2.1.1.4;Pemasangan 1 m  Baja Ringan R.32 tebal 0,45 mm;m2; Rp43.997,00 ;0;0;;
;2.1.2;Rangka Atap Kayu ;;;0;0;;
;2.1.2.1;Pemasangan 1 m3 konstruksi kuda-kuda konvensional, kayu kelas I, II, dan III bentang s.d. 6 meter ;m2; Rp17.265.490,00 ;0;0;;
;2.1.2.2;Pemasangan 1 m3 konstruksi kuda-kuda ekspose, kayu kelas I;m2; Rp37.610.265,00 ;Revisi;Tidak ada Perubahan ;;
;2.1.2.3;Pemasangan 1 m3 konstruksi gordeng, kayu kelas II;m2; Rp16.192.000,00 ;Revisi ;Tidak ada perubahan;;
;2.1.2.4;Pemasangan 1 m2 rangka atap genteng keramik, kayu kelas II;m2; Rp227.049,00 ;Revisi ;perubahan di nama bahan awalnya paku 4 inch jadi paku 5 dan 10 cm;;
;2.1.2.5;Pemasangan 1 m2 rangka atap genteng beton, kayu kelas II;m2; Rp250.723,00 ;Revisi ;perubahan di nama bahan awalnya paku 4 inch jadi paku 5 dan 10 cm;;
;2.1.2.6;Pemasangan 1 m2 rangka atap sirap, kayu kelas II;m2; Rp114.851,00 ;0;0;;
;2.2 ;PEKERJAAN STRUKTUR BETON ;;;;;;
;2.2.1;Struktur Atas ;;;;;;
;2.2.1.1;Penulangan Beton;;;;;;
;2.2.1.1.1; 1 kg penulangan slab untuk BjTP atau BjTS dia. < 12 mm, cara manual (untuk bangunan gedung);kg; Rp18.473,00 ;Revisi ;Perubahan di nama bahan awalya BjTP jadi Baja Tulangan Polos (BjTP) diameter < 12 mm;;
;2.2.1.1.1a; 1 kg penulangan slab untuk  BjTS atau BjTS dia. < 12 mm, cara manual (untuk bangunan gedung);kg; Rp18.754,00 ;Revisi ;sebelumnya belum ada no 2.2.1.1.1.a (penambahan tabel item ini);;
;2.2.1.1.2; 1 kg penulangan slab untuk BjTP dia. ≥ 12 mm, cara semi mekanis (untuk bangunan gedung);kg; Rp18.802,00 ;Revisi ;Perubahan di judul dan bahan awalnya BjTP jadi Baja Tulangan Polos (BjTP) diameter >12 mm;;
;2.2.1.1.2a; 1 kg penulangan slab untuk BjTS dia. ≥ 12 mm, cara semi mekanis (untuk bangunan gedung);kg; Rp19.387,00 ;Revisi ;sebelumnya belum ada no 2.2.1.1.2.a (penambahan tabel item ini);;
;2.2.1.1.3;1 kg Penulangan Kolom, Balok, Ring Balk dan Sloof untuk BjTP diameter <12 mm cara Manual;kg; Rp17.064,00 ;Revisi ;Perubahan di judul dan bahan awalnya BjTP jadi Baja Tulangan Polos (BjTP) diameter <12 mm;;
;2.2.1.1.3a;1 kg Penulangan Kolom, Balok, Ring Balk dan Sloof untuk BjTS diameter <12 mm cara Manual;kg; Rp17.345,00 ;Revisi ;sebelumnya belum ada no 2.2.1.1.3.a (penambahan tabel item ini);;
;2.2.1.1.4;1 kg penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTP  dia. ≥ 12 mm, cara semi mekanis (untuk bangunan gedung);kg; Rp91.628,00 ;Revisi ;Perubahan di judul dan bahan awalnya BjTP jadi Baja Tulangan Polos (BjTP) diameter >12 mm;;
;2.2.1.1.4a;1 kg penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTPS  dia. ≥ 12 mm, cara semi mekanis (untuk bangunan gedung);Kg; Rp92.286,00 ;Revisi ;sebelumnya belum ada no 2.2.1.1.4.a (penambahan tabel item ini);;
;2.2.1.1.5;1 kg penulangan wiremesh M6-M10 untuk slab atau dinding atau ferrocement, secara manual (untuk bangunan gedung);kg; Rp13.807,00 ;0;0;;
;2.2.1.1.6;1 kg penulangan wiremesh M6-M10 untuk slab atau dinding atau ferrocement, secara semi mekanis;kg; Rp13.239,00 ;0;0;;
;2.2.1.1.7;Menaikkan 1 kg tulangan tiap kenaikan vertikal 4 m ke tapak pemasangan secara manual (untuk bangunan gedung);kg; Rp59,00 ;0;0;;
